Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.29,-.18,-.11,-.19,-.11,-.23,-.21,-.09,-.16,-.23,-.20,-.22,-.18,***,***,-.14,-.18,-.19
1881,-.15,-.17,.04,.04,.02,-.20,-.06,-.02,-.13,-.20,-.21,-.10,-.09,-.10,-.18,.04,-.09,-.18
1882,.15,.15,.04,-.18,-.15,-.25,-.20,-.05,-.10,-.24,-.15,-.24,-.10,-.09,.07,-.10,-.17,-.16
1883,-.31,-.38,-.12,-.16,-.19,-.12,-.08,-.15,-.20,-.14,-.22,-.15,-.19,-.19,-.31,-.16,-.11,-.19
1884,-.15,-.08,-.37,-.42,-.36,-.40,-.34,-.26,-.27,-.24,-.29,-.28,-.29,-.28,-.13,-.38,-.33,-.27
1885,-.58,-.29,-.25,-.42,-.41,-.44,-.35,-.31,-.23,-.19,-.19,-.05,-.31,-.33,-.39,-.36,-.36,-.20
1886,-.42,-.45,-.38,-.27,-.26,-.38,-.21,-.33,-.25,-.28,-.31,-.26,-.32,-.30,-.30,-.30,-.31,-.28
1887,-.73,-.52,-.34,-.38,-.32,-.24,-.23,-.32,-.23,-.32,-.23,-.33,-.35,-.34,-.50,-.35,-.26,-.26
1888,-.37,-.36,-.41,-.22,-.22,-.18,-.10,-.16,-.10,.02,.00,-.07,-.18,-.20,-.35,-.28,-.15,-.03
1889,-.12,.18,.08,.07,-.03,-.14,-.10,-.20,-.22,-.23,-.33,-.30,-.11,-.09,.00,.04,-.15,-.26
1890,-.44,-.45,-.40,-.37,-.46,-.27,-.27,-.38,-.40,-.24,-.48,-.31,-.37,-.37,-.40,-.41,-.31,-.37
1891,-.42,-.47,-.18,-.28,-.19,-.20,-.20,-.16,-.14,-.21,-.34,-.04,-.24,-.26,-.40,-.22,-.19,-.23
1892,-.28,-.11,-.35,-.35,-.25,-.23,-.32,-.25,-.13,-.12,-.41,-.38,-.27,-.24,-.15,-.31,-.27,-.22
1893,-.79,-.54,-.23,-.30,-.36,-.28,-.16,-.26,-.20,-.16,-.17,-.35,-.32,-.32,-.57,-.30,-.23,-.18
1894,-.53,-.33,-.25,-.48,-.35,-.44,-.26,-.22,-.25,-.20,-.25,-.20,-.31,-.32,-.40,-.36,-.31,-.23
1895,-.44,-.42,-.28,-.24,-.26,-.24,-.17,-.16,-.09,-.08,-.14,-.15,-.22,-.23,-.35,-.26,-.19,-.10
1896,-.25,-.14,-.25,-.30,-.18,-.14,-.03,-.04,-.03,.12,-.07,-.03,-.11,-.12,-.18,-.25,-.07,.01
1897,-.14,-.14,-.13,-.02,-.04,-.16,-.07,-.11,-.07,-.12,-.19,-.19,-.11,-.10,-.10,-.06,-.11,-.13
1898,-.03,-.29,-.51,-.33,-.32,-.20,-.24,-.25,-.21,-.33,-.38,-.25,-.28,-.27,-.17,-.38,-.23,-.31
1899,-.19,-.40,-.34,-.20,-.23,-.33,-.18,-.07,-.03,-.05,.12,-.28,-.18,-.18,-.28,-.26,-.19,.01
1900,-.37,-.02,.01,-.12,-.10,-.12,-.13,-.10,-.04,.09,-.09,-.07,-.09,-.11,-.22,-.07,-.12,-.01
1901,-.24,-.04,.08,-.04,-.16,-.12,-.15,-.20,-.22,-.31,-.17,-.27,-.15,-.13,-.11,-.04,-.16,-.23
1902,-.20,-.04,-.29,-.31,-.36,-.35,-.29,-.33,-.29,-.31,-.39,-.46,-.30,-.29,-.17,-.32,-.32,-.33
1903,-.26,-.05,-.23,-.43,-.45,-.46,-.38,-.48,-.48,-.48,-.45,-.52,-.39,-.38,-.25,-.37,-.44,-.47
1904,-.67,-.58,-.51,-.54,-.55,-.51,-.54,-.50,-.53,-.39,-.21,-.34,-.49,-.51,-.59,-.54,-.52,-.38
1905,-.40,-.59,-.22,-.36,-.33,-.30,-.29,-.22,-.18,-.25,-.10,-.18,-.29,-.30,-.44,-.30,-.27,-.18
1906,-.28,-.30,-.16,-.04,-.24,-.21,-.25,-.20,-.27,-.19,-.38,-.16,-.22,-.22,-.25,-.15,-.22,-.28
1907,-.41,-.51,-.27,-.39,-.47,-.43,-.36,-.35,-.33,-.24,-.48,-.48,-.39,-.37,-.36,-.37,-.38,-.35
1908,-.43,-.31,-.53,-.45,-.41,-.41,-.39,-.46,-.36,-.44,-.50,-.49,-.43,-.43,-.41,-.46,-.42,-.43
1909,-.68,-.47,-.51,-.60,-.56,-.52,-.45,-.31,-.35,-.36,-.30,-.55,-.47,-.47,-.55,-.56,-.43,-.34
1910,-.44,-.44,-.50,-.40,-.34,-.37,-.34,-.36,-.36,-.38,-.54,-.67,-.43,-.42,-.47,-.41,-.36,-.43
1911,-.63,-.58,-.60,-.53,-.52,-.48,-.41,-.42,-.37,-.23,-.18,-.22,-.43,-.47,-.63,-.55,-.43,-.26
1912,-.26,-.12,-.35,-.20,-.21,-.26,-.44,-.55,-.51,-.56,-.38,-.43,-.36,-.34,-.20,-.25,-.41,-.49
1913,-.42,-.43,-.43,-.39,-.47,-.48,-.36,-.34,-.35,-.33,-.19,-.03,-.35,-.38,-.43,-.43,-.39,-.29
1914,.04,-.10,-.22,-.29,-.23,-.26,-.24,-.14,-.13,-.04,-.18,-.08,-.15,-.15,-.03,-.24,-.21,-.11
1915,-.17,.00,-.09,.06,-.06,-.20,-.10,-.19,-.17,-.24,-.12,-.16,-.12,-.11,-.08,-.03,-.17,-.18
1916,-.09,-.12,-.27,-.29,-.32,-.46,-.36,-.25,-.32,-.27,-.39,-.79,-.33,-.27,-.12,-.29,-.36,-.33
1917,-.58,-.61,-.60,-.50,-.55,-.43,-.25,-.21,-.18,-.40,-.28,-.67,-.44,-.45,-.66,-.55,-.30,-.28
1918,-.42,-.31,-.24,-.45,-.45,-.35,-.31,-.29,-.15,-.05,-.10,-.27,-.28,-.32,-.47,-.38,-.32,-.10
1919,-.20,-.23,-.19,-.13,-.28,-.37,-.29,-.32,-.22,-.18,-.41,-.41,-.27,-.26,-.23,-.20,-.33,-.27
1920,-.22,-.22,-.07,-.26,-.26,-.36,-.31,-.24,-.19,-.26,-.26,-.43,-.26,-.25,-.28,-.20,-.30,-.24
1921,-.02,-.18,-.22,-.29,-.28,-.27,-.14,-.23,-.16,-.02,-.13,-.16,-.17,-.20,-.21,-.26,-.21,-.10
1922,-.33,-.43,-.13,-.23,-.33,-.32,-.25,-.30,-.32,-.31,-.13,-.18,-.27,-.27,-.31,-.23,-.29,-.25
1923,-.29,-.37,-.34,-.39,-.34,-.25,-.29,-.29,-.27,-.11,.01,-.02,-.25,-.26,-.28,-.36,-.28,-.12
1924,-.22,-.23,-.06,-.31,-.18,-.22,-.26,-.33,-.30,-.33,-.19,-.41,-.25,-.22,-.16,-.18,-.27,-.27
1925,-.36,-.38,-.24,-.25,-.30,-.32,-.27,-.15,-.16,-.17,.04,.09,-.21,-.25,-.38,-.26,-.25,-.09
1926,.20,.06,.11,-.12,-.22,-.22,-.24,-.13,-.12,-.09,-.04,-.27,-.09,-.06,.12,-.07,-.20,-.08
1927,-.27,-.18,-.36,-.31,-.25,-.26,-.17,-.20,-.10,.00,-.03,-.32,-.20,-.20,-.24,-.31,-.21,-.04
1928,.00,-.07,-.26,-.27,-.29,-.36,-.18,-.21,-.18,-.17,-.08,-.17,-.19,-.20,-.13,-.28,-.25,-.14
1929,-.46,-.59,-.31,-.39,-.38,-.40,-.33,-.30,-.23,-.12,-.11,-.53,-.34,-.31,-.41,-.36,-.34,-.15
1930,-.30,-.27,-.08,-.25,-.23,-.20,-.19,-.13,-.12,-.08,.16,-.06,-.15,-.19,-.37,-.19,-.17,-.01
1931,-.10,-.24,-.08,-.21,-.19,-.07,-.02,-.03,-.07,.03,-.11,-.09,-.10,-.10,-.13,-.16,-.04,-.05
1932,.14,-.18,-.19,-.06,-.19,-.30,-.24,-.23,-.11,-.10,-.26,-.25,-.17,-.15,-.04,-.15,-.26,-.16
1933,-.34,-.34,-.30,-.25,-.29,-.34,-.21,-.24,-.27,-.21,-.30,-.46,-.30,-.28,-.31,-.28,-.26,-.26
1934,-.25,-.04,-.33,-.30,-.11,-.15,-.10,-.11,-.16,-.08,.03,-.04,-.14,-.17,-.25,-.25,-.12,-.07
1935,-.33,.15,-.13,-.36,-.30,-.27,-.23,-.22,-.21,-.08,-.28,-.20,-.21,-.19,-.08,-.26,-.24,-.19
1936,-.28,-.39,-.22,-.20,-.18,-.21,-.08,-.14,-.09,-.04,-.04,-.03,-.16,-.17,-.29,-.20,-.14,-.06
1937,-.13,.03,-.18,-.17,-.08,-.05,-.05,.01,.11,.08,.09,-.12,-.04,-.03,-.04,-.14,-.03,.09
1938,.01,-.02,.08,.04,-.10,-.18,-.09,-.06,.02,.11,.03,-.22,-.03,-.02,-.04,.00,-.11,.05
1939,-.08,-.08,-.19,-.10,-.06,-.08,-.08,-.08,-.07,-.03,.05,.44,-.03,-.09,-.13,-.12,-.08,-.02
1940,-.06,.12,.15,.18,.09,.08,.12,.04,.12,.07,.17,.27,.11,.13,.17,.14,.08,.12
1941,.21,.33,.08,.17,.14,.11,.21,.14,.02,.33,.24,.20,.18,.19,.27,.13,.15,.20
1942,.25,.02,.10,.11,.08,.04,.00,-.04,-.05,-.01,.08,.07,.05,.06,.16,.10,.00,.00
1943,-.04,.13,-.08,.07,.04,-.06,.08,.00,.06,.22,.19,.24,.07,.06,.05,.01,.00,.16
1944,.35,.26,.27,.19,.19,.20,.18,.17,.30,.26,.10,.02,.21,.23,.28,.22,.18,.22
1945,.09,-.02,.06,.18,.04,.00,.03,.27,.22,.18,.07,-.09,.09,.10,.03,.10,.10,.16
1946,.15,.07,.00,.06,-.08,-.21,-.14,-.17,-.07,-.06,-.06,-.35,-.07,-.05,.04,-.01,-.17,-.06
1947,-.12,-.08,.07,.07,-.03,.02,-.07,-.09,-.13,.06,.02,-.16,-.04,-.05,-.18,.04,-.05,-.02
1948,.07,-.16,-.25,-.11,.01,-.04,-.11,-.12,-.11,-.07,-.12,-.23,-.11,-.10,-.08,-.12,-.09,-.10
1949,.09,-.17,-.02,-.10,-.08,-.23,-.14,-.12,-.14,-.06,-.10,-.22,-.11,-.11,-.10,-.07,-.16,-.10
1950,-.33,-.28,-.07,-.20,-.10,-.03,-.10,-.16,-.12,-.22,-.38,-.20,-.18,-.18,-.28,-.12,-.10,-.24
1951,-.35,-.43,-.21,-.13,.00,-.02,.03,.06,.08,.05,-.02,.14,-.07,-.09,-.32,-.11,.02,.04
1952,.12,.11,-.10,.02,-.02,-.04,.04,.04,.07,-.01,-.14,-.01,.01,.02,.12,-.03,.02,-.03
1953,.08,.14,.11,.18,.09,.10,.00,.06,.04,.06,-.06,.02,.07,.07,.07,.13,.05,.01
1954,-.28,-.13,-.15,-.16,-.22,-.18,-.19,-.17,-.10,-.04,.06,-.21,-.15,-.13,-.13,-.18,-.18,-.03
1955,.13,-.18,-.34,-.22,-.21,-.12,-.13,.01,-.11,-.05,-.24,-.30,-.15,-.14,-.09,-.26,-.08,-.13
1956,-.16,-.26,-.23,-.27,-.31,-.16,-.12,-.26,-.20,-.24,-.17,-.08,-.21,-.23,-.24,-.27,-.18,-.20
1957,-.11,-.04,-.06,-.01,.09,.16,.01,.15,.09,.01,.06,.16,.04,.02,-.07,.00,.11,.06
1958,.39,.24,.11,.03,.06,-.08,.05,-.04,-.02,.04,.02,.00,.07,.08,.26,.07,-.02,.01
1959,.08,.08,.18,.13,.04,.02,.06,-.02,-.06,-.09,-.09,-.02,.03,.03,.05,.12,.02,-.08
1960,-.01,.16,-.34,-.14,-.07,-.04,-.03,.01,.07,.07,-.12,.18,-.02,-.04,.05,-.18,-.02,.01
1961,.07,.19,.09,.12,.11,.11,.00,.03,.07,.00,.03,-.15,.06,.08,.15,.11,.05,.03
1962,.07,.14,.12,.04,-.04,.05,.02,-.01,.01,.00,.07,-.01,.04,.03,.02,.04,.02,.03
1963,-.02,.20,-.14,-.06,-.04,.05,.09,.27,.20,.15,.15,-.01,.07,.07,.06,-.08,.14,.17
